marca,modelo,version,url_modelo
CUPRA,Formentor,e-Hybrid PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/CUPRA%20Formentor%20e-Hybrid%20PHEV.pdf
CUPRA,Tavascan,Adrenaline 82 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/FICHA-TAVASCAN-V5.pdf
CUPRA,Tavascan,Extreme 82 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/FICHA-TAVASCAN-V5.pdf
Volkswagen,ID.4,Pro 77 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volkswagen%20ID.4.pdf
Honda,CR-V,Advance Hybrid HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Honda%20CR-V.pdf
Skoda,Elroq,85 Design 82 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Skoda%20Elroq.pdf
CUPRA,Formentor,e-Hybrid PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/CUPRA%20Formentor%20e-Hybrid%20PHEV.pdf
CUPRA,Tavascan,Adrenaline 82 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/FICHA-TAVASCAN-V5.pdf
CUPRA,Tavascan,Extreme 82 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/FICHA-TAVASCAN-V5.pdf
Volkswagen,ID.4,Pro 77 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volkswagen%20ID.4.pdf
Honda,CR-V,Advance Hybrid HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Honda%20CR-V.pdf
Skoda,Elroq,85 Design 82 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Skoda%20Elroq.pdf
