marca,modelo,version,url_modelo
Dongfeng,E70,47.5 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20E70.pdf
Dongfeng,S50,EVE 56 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20S50.pdf
Dongfeng,T5,EVO HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20T5.pdf
Maxus,T90,88.5 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Maxus%20T90.pdf
Maxus,Euniq 6,70 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Maxus%20Euniq%206.pdf
Maxus,MIFA,9 90 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Maxus%20MIFA.pdf
Foton,V7,LUXURY MT MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Foton%20V7.pdf
Foton,V9,ULTIMATE MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Foton%20V9.pdf
Foton,V7,LUXURY AT MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Foton%20V7.pdf
Foton,V9,ELITE MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Foton%20V9.pdf
Foton,V7,ELITE AT MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Foton%20V7.pdf
Dongfeng,E70,47.5 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20E70.pdf
Dongfeng,S50,EVE 56 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20S50.pdf
Dongfeng,T5,EVO HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20T5.pdf
Maxus,T90,88.5 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Maxus%20T90.pdf
Maxus,Euniq 6,70 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Maxus%20Euniq%206.pdf
Maxus,MIFA,9 90 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Maxus%20MIFA.pdf
Foton,V7,LUXURY MT MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Foton%20V7.pdf
Foton,V9,ULTIMATE MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Foton%20V9.pdf
Foton,V7,LUXURY AT MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Foton%20V7.pdf
Foton,V9,ELITE MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Foton%20V9.pdf
Foton,V7,ELITE AT MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Foton%20V7.pdf
