marca,modelo,version,url_modelo
Dongfeng,E70,47.5 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20E70.pdf
Dongfeng,S50,EVE 56 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20S50.pdf
Dongfeng,T5,EVO HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20T5.pdf
Kia,Niro,EX HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Kia%20Niro.pdf
Kia,EV5,Light 64.2 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/KIA%20EV5.pdf
Kia,EV6,GT 77.4 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/KIA%20EV6.pdf
Kia,EV9,GT 99.8 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/KIA%20EV9.pdf
Kia,EV5,Wave 88.1 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/KIA%20EV5.pdf
Kia,Niro,LX HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Kia%23Niro.pdf
Dongfeng,E70,47.5 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20E70.pdf
Dongfeng,S50,EVE 56 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20S50.pdf
Dongfeng,T5,EVO HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20T5.pdf
Kia,Niro,EX HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Kia%20Niro.pdf
Kia,EV5,Light 64.2 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/KIA%20EV5.pdf
Kia,EV6,GT 77.4 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/KIA%20EV6.pdf
Kia,EV9,GT 99.8 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/KIA%20EV9.pdf
Kia,EV5,Wave 88.1 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/KIA%20EV5.pdf
Kia,Niro,LX HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Kia%23Niro.pdf
