marca,modelo,version,url_modelo
DFSK,600,ELITE PRO PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/DFSK%20600.pdf
DFSK,600,ELITE PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/DFSK%20600.pdf
DFSK,SERES #3,53 kWh,https://storage.cloud.google.com/autovolt-images/fichas_tecnicas/DFSK%20Seres%20%233.pdf
Dongfeng,E70,47.5 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20E70.pdf
Dongfeng,S50,EVE 56 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20S50.pdf
Dongfeng,T5,EVO HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20T5.pdf
Subaru,Forester,Limited HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Subaru%20Forester.pdf
Subaru,Crosstrek,Touring ES HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Subaru%20Crosstrek.pdf
Subaru,Forester,Dynamic HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Subaru%20Forester.pdf
Geely,EX5,Max 60 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Geely%20EX5.pdf
Geely,EX5,Pro 60 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Geely%20EX5.pdf
Lynk&Co,8,Halo PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2008.pdf
Lynk&Co,9,Halo MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2009.pdf
Lynk&Co,8,Pro PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2008.pdf
DFSK,600,ELITE PRO PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/DFSK%20600.pdf
DFSK,600,ELITE PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/DFSK%20600.pdf
DFSK,SERES #3,53 kWh,https://storage.cloud.google.com/autovolt-images/fichas_tecnicas/DFSK%20Seres%20%233.pdf
Dongfeng,E70,47.5 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20E70.pdf
Dongfeng,S50,EVE 56 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20S50.pdf
Dongfeng,T5,EVO HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20T5.pdf
Subaru,Forester,Limited HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Subaru%20Forester.pdf
Subaru,Crosstrek,Touring ES HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Subaru%20Crosstrek.pdf
Subaru,Forester,Dynamic HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Subaru%20Forester.pdf
Geely,EX5,Max 60 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Geely%20EX5.pdf
Geely,EX5,Pro 60 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Geely%20EX5.pdf
Lynk&Co,8,Halo PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2008.pdf
Lynk&Co,9,Halo MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2009.pdf
Lynk&Co,8,Pro PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2008.pdf
Volvo,EX30,Plus 69 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volvo%20EX30.pdf
Volvo,XC90,Plus MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volvo%20XC90.pdf
Volvo,EX30,Ultra 69 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volvo%20EX30.pdf
Volvo,EX30,Core 51 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volvo%20EX30.pdf
Volvo,XC60,Polestar Engineered PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volvo%20XC60.pdf
Volvo,XC60,Recharge Plus PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volvo%20XC60.pdf
Volvo,EX90,Ultra Performance 111 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volvo%20EX90.pdf
Volvo,EX90,Plus 111 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volvo%20EX90.pdf
Volvo,XC90,Recharge Ultimate PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volvo%20XC90.pdf
Volvo,EC40,Single Motor 69 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volvo%20EC40.pdf
Volvo,EC40,Twin Motor 78 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volvo%20EC40.pdf
Volvo,EX40,Single Motor 69 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volvo%20EX40.pdf
Volvo,EX40,Twin Motor 78 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volvo%20EX40.pdf
Volvo,XC60,Plus MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volvo%20XC60.pdf
Volvo,XC60,Recharge Ultimate PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volvo%20XC60.pdf
Volvo,XC90,Recharge Plus PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Volvo%20XC90.pdf
Lynk&Co,8,Halo PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2008.pdf
Lynk&Co,9,Halo MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2009.pdf
Lynk&Co,8,Pro PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2008.pdf
DFSK,600,ELITE PRO PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/DFSK%20600.pdf
DFSK,600,ELITE PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/DFSK%20600.pdf
DFSK,SERES #3,53 kWh,https://storage.cloud.google.com/autovolt-images/fichas_tecnicas/DFSK%20Seres%20%233.pdf
Dongfeng,E70,47.5 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20E70.pdf
Dongfeng,S50,EVE 56 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20S50.pdf
Dongfeng,T5,EVO HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20T5.pdf
Subaru,Forester,Limited HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Subaru%20Forester.pdf
Subaru,Crosstrek,Touring ES HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Subaru%20Crosstrek.pdf
Subaru,Forester,Dynamic HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Subaru%20Forester.pdf
Geely,EX5,Max 60 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Geely%20EX5.pdf
Geely,EX5,Pro 60 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Geely%20EX5.pdf
Lynk&Co,8,Halo PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2008.pdf
Lynk&Co,9,Halo MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2009.pdf
Lynk&Co,8,Pro PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2008.pdf
DFSK,600,ELITE PRO PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/DFSK%20600.pdf
DFSK,600,ELITE PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/DFSK%20600.pdf
DFSK,SERES #3,53 kWh,https://storage.cloud.google.com/autovolt-images/fichas_tecnicas/DFSK%20Seres%20%233.pdf
Dongfeng,E70,47.5 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20E70.pdf
Dongfeng,S50,EVE 56 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20S50.pdf
Dongfeng,T5,EVO HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20T5.pdf
Subaru,Forester,Limited HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Subaru%20Forester.pdf
Subaru,Crosstrek,Touring ES HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Subaru%20Crosstrek.pdf
Subaru,Forester,Dynamic HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Subaru%20Forester.pdf
Geely,EX5,Max 60 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Geely%20EX5.pdf
Geely,EX5,Pro 60 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Geely%20EX5.pdf
Lynk&Co,8,Halo PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2008.pdf
Lynk&Co,9,Halo MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2009.pdf
Lynk&Co,8,Pro PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2008.pdf
DFSK,600,ELITE PRO PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/DFSK%20600.pdf
DFSK,600,ELITE PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/DFSK%20600.pdf
DFSK,SERES #3,53 kWh,https://storage.cloud.google.com/autovolt-images/fichas_tecnicas/DFSK%20Seres%20%233.pdf
Dongfeng,E70,47.5 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20E70.pdf
Dongfeng,S50,EVE 56 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20S50.pdf
Dongfeng,T5,EVO HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20T5.pdf
Subaru,Forester,Limited HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Subaru%20Forester.pdf
Subaru,Crosstrek,Touring ES HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Subaru%20Crosstrek.pdf
Subaru,Forester,Dynamic HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Subaru%20Forester.pdf
Geely,EX5,Max 60 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Geely%20EX5.pdf
Geely,EX5,Pro 60 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Geely%20EX5.pdf
Lynk&Co,8,Halo PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2008.pdf
Lynk&Co,9,Halo MHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2009.pdf
Lynk&Co,8,Pro PHEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Ficha%20Tecnica%20Lynk%2008.pdf
