marca,modelo,version,url_modelo
Dongfeng,E70,47.5 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20E70.pdf
Dongfeng,S50,EVE 56 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20S50.pdf
Dongfeng,T5,EVO HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Dongfeng%20T5.pdf
Hyundai,Kona,Value 48 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Hyundai%20KONA%20BEV.pdf
Hyundai,Tucson,NX4 Design HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/ficha-tecnica-tucson-hev-21.5x28-cm-2.pdf
Hyundai,Tucson,NX4 Plus HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/ficha-tecnica-tucson-hev-21.5x28-cm-2.pdf
Hyundai,IONIQ 5,Limited AWD 72.6 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Hyundai%20IONIQ%205.pdf
Hyundai,IONIQ 5,Limited 72.6 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Hyundai%20IONIQ%205.pdf
Hyundai,Inster,Design LR 49 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Hyundai%20Inster.pdf
Hyundai,Kona,Plus HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Hyundai%20Kona%20HEV.pdf
Hyundai,Inster,Plus 42 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Hyundai%20Inster.pdf
Hyundai,Santa Fe,Limited HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Hyundai-Santa-Fe-Hybrid-ficha-tecnica.pdf
Hyundai,Santa Fe,Premium HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Hyundai-Santa-Fe-Hybrid-ficha-tecnica.pdf
Hyundai,Tucson,NX4 Limited HEV,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/ficha-tecnica-tucson-hev-21.5x28-cm-2.pdf
Hyundai,IONIQ 5,Premium 72.6 kWh,https://storage.googleapis.com/autovolt-images/fichas_tecnicas/Hyundai%20IONIQ%205.pdf
