id,automotora,cantidad_sucursales
85,APSA Automotora,1
22,AndesMotor,1
92,Anfruns Motors,1
93,Aspillaga Hornaeur,1
1,Astara Retail,11
82,Auto Castillo,14
2,AutoKas,3
68,Autofip,2
61,Automotora Alameda,13
28,Automotora Berrios,17
27,Automotora Bilbao,5
84,Automotora Colón,5
62,Automotriz Copelec,1
86,Automotriz Covema,1
57,Automotriz Depetris,1
87,Automotriz Eugenio Aviles,1
60,Automotriz Miranda,3
96,Autum,1
7,Aventura Motors,6
98,B2 Autos,2
63,Baladrón e Hijos,1
13,Bruno Fritsch,35
14,Callegari,8
97,Car Concept,1
73,Carmona,10
41,Cartoni,13
58,Cavalautos,1
53,Chiloémotores,1
26,Cidef,27
67,Comercial Antivero,2
69,Comercial Romanini,2
77,Comercial del Real,2
30,Curifor,19
56,Círculo Autos,5
21,Daniel Achondo,3
94,DeCar,2
16,Derco Center,45
20,Difor,9
3,Ditalcar,4
23,Ditec Porsche,1
24,Ditec Volvo,2
44,Dumay,5
25,Forcenter,11
71,Fronza,5
79,Gaut Automotora,1
70,Gellona Autos,2
15,Gildemeister Retail,12
64,Grass y Arueste,2
4,Guillermo Morales,8
33,Hernandez Motores,3
34,Inal Motors,4
39,Inalco,8
18,Indumotora One,10
43,JPN,1
42,Kaufmann,28
48,Kaufmann Smart,1
76,Klassik Car,2
36,Kovacs Motors,24
78,Lander Leguina,1
80,Larrain & Valdes,3
55,Lira Larraín,2
81,Mach,6
66,Maritano Ebensperger,15
37,Melhuish,9
83,Miguel Jacob Helo,2
32,Mini,9
19,Nammi,1
65,Noack Automotriz,2
74,Padilla Automotriz,0
6,Piamonte,7
45,Pompeyo Carrasco,12
40,Portillo,75
54,Portillo Sur,14
89,Recasur,1
51,Rental,1
5,Rosselot,47
8,SG Autos,5
59,SKC,0
11,Salazar Israel,76
38,Salfa Automotriz,23
95,Sergio Escobar,2
90,Servimaq,1
35,Summit Motors,12
88,TWS,1
47,Tattersall,11
75,Tecnocid,1
72,Tecnosur,3
17,Tesla,1
9,Valenzuela & Delarze,10
50,Varona,2
52,Vega Artus,2
31,Williamson Balfour Motors,7
91,Yusic,3
46,Zentrum,3
